18/01 10:19:00 FINE sim.Admin|Log for simulation 94 started
************************************************************
* Log for simulation 94 started
************************************************************


18/01 10:19:00 INFO sim.TACAdxSimulation|TACAA Simulation 94 is setting up...
18/01 10:19:00 INFO sim.TACAdxSimulation|Created Adx Agent
18/01 10:19:00 INFO sim.TACAdxSimulation|Created Demand Agent
18/01 10:19:00 INFO sim.TACAdxSimulation|Created 1 users
18/01 10:19:00 INFO sim.TACAdxSimulation|Created 1 publishers
18/01 10:19:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
18/01 10:19:00 FINE DummyAdvertiser.Dummy|dummy Dummy simulationSetup
18/01 10:19:00 FINE DummyAdvertiser.Dummy-2|dummy Dummy-2 simulationSetup
18/01 10:19:00 FINE DummyAdvertiser.Dummy-3|dummy Dummy-3 simulationSetup
18/01 10:19:00 FINE DummyAdvertiser.Dummy-4|dummy Dummy-4 simulationSetup
18/01 10:19:00 FINE DummyAdvertiser.Dummy-5|dummy Dummy-5 simulationSetup
18/01 10:19:00 FINE DummyAdvertiser.Dummy-6|dummy Dummy-6 simulationSetup
18/01 10:19:00 FINE DummyAdvertiser.Dummy-7|dummy Dummy-7 simulationSetup
18/01 10:19:00 FINE DummyAdvertiser.Dummy-8|dummy Dummy-8 simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-2 simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-3 simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-4 simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-5 simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-6 simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-7 simulationSetup
18/01 10:19:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-8 simulationSetup
18/01 10:19:00 INFO sim.TACAdxSimulation|Using random capacity assigments
18/01 10:19:00 INFO auction.QueryReportManagerImpl|QueryReportManager reset
18/01 10:19:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
18/01 10:19:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
18/01 10:19:00 INFO agents.DemandAgent|setting up...
18/01 10:19:00 FINE agents.DemandAgent|Finished setup
18/01 10:21:03 INFO sim.Simulation|***** START OF TIME 0 *****
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@5b5b55bc
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@24d37b87
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@4cc5f20f
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@71d382ab
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@da3b359
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@6bef4b2b
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@677210a5
18/01 10:21:03 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:03 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@1b071c0
18/01 10:21:04 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
18/01 10:21:04 INFO sim.Simulation|***** START OF TIME 1 *****
18/01 10:21:04 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:04 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@755ae104
18/01 10:21:04 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:04 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@7a5082de
18/01 10:21:04 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:21:04 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@391c4647
18/01 10:21:04 INFO agents.DemandAgent|allocating initial campaigns
