18/01 11:28:00 FINE sim.Admin|Log for simulation 104 started
************************************************************
* Log for simulation 104 started
************************************************************


18/01 11:28:00 INFO sim.TACAdxSimulation|TACAA Simulation 104 is setting up...
18/01 11:28:00 INFO sim.TACAdxSimulation|Created Adx Agent
18/01 11:28:00 INFO sim.TACAdxSimulation|Created Demand Agent
18/01 11:28:00 INFO sim.TACAdxSimulation|Created 1 users
18/01 11:28:00 INFO sim.TACAdxSimulation|Created 1 publishers
18/01 11:28:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
18/01 11:28:00 FINE DummyAdvertiser.Dummy|dummy Dummy simulationSetup
18/01 11:28:00 FINE DummyAdvertiser.Dummy-2|dummy Dummy-2 simulationSetup
18/01 11:28:00 FINE DummyAdvertiser.Dummy-3|dummy Dummy-3 simulationSetup
18/01 11:28:00 FINE DummyAdvertiser.Dummy-4|dummy Dummy-4 simulationSetup
18/01 11:28:00 FINE DummyAdvertiser.Dummy-5|dummy Dummy-5 simulationSetup
18/01 11:28:00 FINE DummyAdvertiser.Dummy-6|dummy Dummy-6 simulationSetup
18/01 11:28:00 FINE DummyAdvertiser.Dummy-7|dummy Dummy-7 simulationSetup
18/01 11:28:00 FINE DummyAdvertiser.Dummy-8|dummy Dummy-8 simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-2 simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-3 simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-4 simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-5 simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-6 simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-7 simulationSetup
18/01 11:28:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-8 simulationSetup
18/01 11:28:00 INFO sim.TACAdxSimulation|Using random capacity assigments
18/01 11:28:00 INFO auction.QueryReportManagerImpl|QueryReportManager reset
18/01 11:28:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
18/01 11:28:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
18/01 11:28:00 INFO agents.DemandAgent|setting up...
18/01 11:28:00 FINE agents.DemandAgent|Finished setup
18/01 11:28:00 INFO sim.Simulation|***** START OF TIME 0 *****
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@5aacc14
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@4453d3cf
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@58ee21f5
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@6a6014f7
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@6dabbec4
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@6e2c03ff
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@5ff6de1
18/01 11:28:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 11:28:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@6f3b625b
18/01 11:28:00 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 11:28:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[665912535,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[1970841561,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[1534516756,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[2046265711,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[1241553584,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[645492252,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[196776667,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DummyAdNetwork|InitialCampaign[1149686234,30000,1,1,FEMALE_HIGH_INCOME,2.5,3.5,[]]
18/01 11:28:01 FINE agents.DummyAdNetwork|Sent bid message
18/01 11:28:01 INFO agents.DemandAgent|Got message..
18/01 11:28:16 INFO agents.DemandAgent|..AdNetBidMessage: AdNetBid[0.0,665912535,18982,[]]
