18/01 10:16:00 FINE sim.Admin|Log for simulation 93 started
************************************************************
* Log for simulation 93 started
************************************************************


18/01 10:16:00 INFO sim.TACAdxSimulation|TACAA Simulation 93 is setting up...
18/01 10:16:00 INFO sim.TACAdxSimulation|Created Adx Agent
18/01 10:16:00 INFO sim.TACAdxSimulation|Created Demand Agent
18/01 10:16:00 INFO sim.TACAdxSimulation|Created 1 users
18/01 10:16:00 INFO sim.TACAdxSimulation|Created 1 publishers
18/01 10:16:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
18/01 10:16:00 FINE DummyAdvertiser.Dummy|dummy Dummy simulationSetup
18/01 10:16:00 FINE DummyAdvertiser.Dummy-2|dummy Dummy-2 simulationSetup
18/01 10:16:00 FINE DummyAdvertiser.Dummy-3|dummy Dummy-3 simulationSetup
18/01 10:16:00 FINE DummyAdvertiser.Dummy-4|dummy Dummy-4 simulationSetup
18/01 10:16:00 FINE DummyAdvertiser.Dummy-5|dummy Dummy-5 simulationSetup
18/01 10:16:00 FINE DummyAdvertiser.Dummy-6|dummy Dummy-6 simulationSetup
18/01 10:16:00 FINE DummyAdvertiser.Dummy-7|dummy Dummy-7 simulationSetup
18/01 10:16:00 FINE DummyAdvertiser.Dummy-8|dummy Dummy-8 simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-2 simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-3 simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-4 simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-5 simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-6 simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-7 simulationSetup
18/01 10:16:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-8 simulationSetup
18/01 10:16:00 INFO sim.TACAdxSimulation|Using random capacity assigments
18/01 10:16:00 INFO auction.QueryReportManagerImpl|QueryReportManager reset
18/01 10:16:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
18/01 10:16:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
18/01 10:16:00 INFO agents.DemandAgent|setting up...
18/01 10:16:00 FINE agents.DemandAgent|Finished setup
18/01 10:16:49 INFO sim.Simulation|***** START OF TIME 0 *****
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@22f62eba
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@41f6321
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@6c229ed4
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@3804dd1b
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@629ca1fb
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@76f1fad1
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@29909385
18/01 10:16:49 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:49 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@92ca580
18/01 10:16:49 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
18/01 10:16:49 INFO sim.Simulation|***** START OF TIME 1 *****
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@67413d91
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@1128c7d2
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@107781c1
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@1d67604b
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@4cb2c703
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@4bfcbee9
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@7cf548c2
18/01 10:16:50 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:16:50 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@37264b74
18/01 10:16:50 INFO sim.Simulation|***** START OF TIME 1 COMPLETE *****
18/01 10:16:50 INFO sim.Simulation|***** START OF TIME 2 *****
18/01 10:16:50 INFO agents.DemandAgent|new day 2 . Auction pending campaign
18/01 10:16:50 INFO agents.DemandAgent|Auction user classification service
18/01 10:16:50 INFO agents.DemandAgent|Reporting auction results...
18/01 10:16:50 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:16:50 INFO sim.Simulation|***** START OF TIME 2 COMPLETE *****
18/01 10:16:50 INFO sim.Simulation|***** START OF TIME 3 *****
18/01 10:16:51 INFO agents.DemandAgent|new day 3 . Auction pending campaign
18/01 10:16:51 INFO agents.DemandAgent|Auction user classification service
18/01 10:16:51 INFO agents.DemandAgent|Reporting auction results...
18/01 10:16:51 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:16:51 INFO sim.Simulation|***** START OF TIME 3 COMPLETE *****
18/01 10:16:51 INFO sim.Simulation|***** START OF TIME 4 *****
18/01 10:16:51 INFO agents.DemandAgent|new day 4 . Auction pending campaign
18/01 10:16:51 INFO agents.DemandAgent|Auction user classification service
18/01 10:16:51 INFO agents.DemandAgent|Reporting auction results...
18/01 10:16:51 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:16:51 INFO sim.Simulation|***** START OF TIME 4 COMPLETE *****
18/01 10:16:51 INFO sim.Simulation|***** START OF TIME 5 *****
18/01 10:16:52 INFO agents.DemandAgent|new day 5 . Auction pending campaign
18/01 10:16:52 INFO agents.DemandAgent|Auction user classification service
18/01 10:16:52 INFO agents.DemandAgent|Reporting auction results...
18/01 10:16:52 INFO agents.DemandAgent|Notifying new campaign opportunity..
18/01 10:16:52 INFO sim.Simulation|***** START OF TIME 5 COMPLETE *****
18/01 10:17:00 INFO sim.Simulation|***** START OF TIME 6 *****
18/01 10:17:00 INFO agents.DemandAgent|new day 6 . Auction pending campaign
