18/01 10:22:00 FINE sim.Admin|Log for simulation 95 started
************************************************************
* Log for simulation 95 started
************************************************************


18/01 10:22:00 INFO sim.TACAdxSimulation|TACAA Simulation 95 is setting up...
18/01 10:22:00 INFO sim.TACAdxSimulation|Created Adx Agent
18/01 10:22:00 INFO sim.TACAdxSimulation|Created Demand Agent
18/01 10:22:00 INFO sim.TACAdxSimulation|Created 1 users
18/01 10:22:00 INFO sim.TACAdxSimulation|Created 1 publishers
18/01 10:22:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
18/01 10:22:00 FINE DummyAdvertiser.Dummy|dummy Dummy simulationSetup
18/01 10:22:00 FINE DummyAdvertiser.Dummy-2|dummy Dummy-2 simulationSetup
18/01 10:22:00 FINE DummyAdvertiser.Dummy-3|dummy Dummy-3 simulationSetup
18/01 10:22:00 FINE DummyAdvertiser.Dummy-4|dummy Dummy-4 simulationSetup
18/01 10:22:00 FINE DummyAdvertiser.Dummy-5|dummy Dummy-5 simulationSetup
18/01 10:22:00 FINE DummyAdvertiser.Dummy-6|dummy Dummy-6 simulationSetup
18/01 10:22:00 FINE DummyAdvertiser.Dummy-7|dummy Dummy-7 simulationSetup
18/01 10:22:00 FINE DummyAdvertiser.Dummy-8|dummy Dummy-8 simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-2 simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-3 simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-4 simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-5 simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-6 simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-7 simulationSetup
18/01 10:22:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-8 simulationSetup
18/01 10:22:00 INFO sim.TACAdxSimulation|Using random capacity assigments
18/01 10:22:00 INFO auction.QueryReportManagerImpl|QueryReportManager reset
18/01 10:22:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
18/01 10:22:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
18/01 10:22:00 INFO agents.DemandAgent|setting up...
18/01 10:22:00 FINE agents.DemandAgent|Finished setup
18/01 10:22:00 INFO sim.Simulation|***** START OF TIME 0 *****
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@bba92db
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@23b67d6a
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@7284aa02
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@2a24bfaa
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@5dac13d7
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@3d89acb5
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@5722cc7e
18/01 10:22:00 INFO agents.DemandAgent|allocating initial campaigns
18/01 10:22:00 FINE adx.AdxManager|tau.tac.adx.messages.CampaignNotification@46e13e7b
18/01 10:22:01 INFO sim.Simulation|***** START OF TIME 0 COMPLETE *****
18/01 10:22:10 INFO sim.Simulation|***** START OF TIME 1 *****
