05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.InitialCampaignMessage
05/04 06:57:03 INFO agents.DummyAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[750556787,1250,1,5,OLD_HIGH_INCOME,2.0,1.5,demand,[]]
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.InitialCampaignMessage
05/04 06:57:03 INFO agents.DummyAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[1369711350,1250,1,5,FEMALE_YOUNG,2.0,1.5,demand,[]]
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.InitialCampaignMessage
05/04 06:57:03 INFO agents.DummyAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[802278903,1250,1,5,OLD_HIGH_INCOME,2.0,1.5,demand,[]]
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.InitialCampaignMessage
05/04 06:57:03 INFO agents.DummyAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[804331023,1250,1,5,FEMALE_HIGH_INCOME,2.0,1.5,demand,[]]
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.InitialCampaignMessage
05/04 06:57:03 INFO agents.DummyAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[1503990546,1250,1,5,OLD_LOW_INCOME,2.0,1.5,demand,[]]
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.InitialCampaignMessage
05/04 06:57:03 INFO agents.DummyAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[1737470871,1250,1,5,OLD_HIGH_INCOME,2.0,1.5,demand,[]]
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.InitialCampaignMessage
05/04 06:57:03 INFO agents.DummyAdNetwork|tau.tac.adx.report.demand.InitialCampaignMessage[718377354,1250,1,5,OLD_LOW_INCOME,2.0,1.5,demand,[]]
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.report.demand.CampaignOpportunityMessage
05/04 06:57:03 FINE agents.DummyAdNetwork|sent campaign bid
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.SimulationStatus
05/04 06:57:03 INFO agents.DemandAgent|Got message..
05/04 06:57:03 INFO agents.DemandAgent|..AdNetBidMessage: tau.tac.adx.report.demand.AdNetBidMessage[81.0,1950702248,4994,]
05/04 06:57:03 INFO agents.DemandAgent|Got message..
05/04 06:57:03 INFO agents.DemandAgent|..AdNetBidMessage: tau.tac.adx.report.demand.AdNetBidMessage[89.0,1950702248,1056,]
